"stil","ime_nemscina","opis_materiala_nemscina","opis_artikla_nemscina"
"02.1127","Damen 2-Lagen Promo Softshell Gilet","280g/m², 100% Polyester","Taillierter Schnitt, wasserabweisend, atmungsaktiv, hinterlegter Frontreißverschluss mit Kinnschutz, 2 Seitentaschen mit Reißverschluss, 2 Innentaschen, Microfleece, weiches 2-lagiges Softshell-Material, winddicht"
"02.1128","Herren 2-Lagen Promo Softshell Gilet","280g/m², 100% Polyester","Wasserabweisend, atmungsaktiv, hinterlegter Frontreißverschluss mit Kinnschutz, 2 Seitentaschen mit Reißverschluss, 2 Innentaschen, Microfleece, weiches 2-lagiges Softshell-Material, winddicht"
"02.1129","Damen 2-Lagen Promo Softshell Jacke","280g/m², 100% Polyester","Taillierter Schnitt, wasserabweisend, atmungsaktiv, elastische Einfassung am Ärmel, hinterlegter Frontreißverschluss mit Kinnschutz, 2 Seitentaschen mit Reißverschluss, 2 Innentaschen, Microfleece, weiches 2-lagiges Softshell-Material, winddicht"
"02.112L","Workwear Stretch Hose ""Slim Line""","260g/m², Oberstoff: 65% recyceltes Polyester, 32% Bio-Baumwolle, 3% Elasthan, Oberstoff 2: 94% Polyamid, 6% Elasthan, Besatz: 100% Polyamid","Schmaler Schnitt, Gürtelschlaufen, YKK Reißverschlüsse, Schubtaschen, diverse Werkzeugtaschen, Kniepolstertaschen verstärkt mit Cordura®, Taschen verstärkt mit Cordura®, reißfeste 3-fach Naht, robustes und strapazierfähiges Mischgewebe, hoher Tragekomfort durch elastische Einsätze, 40° waschbar, in 3 Längen erhältlich, im Webshop: kurz 02.112S, mittel 02.112M/02.112X, lang 02.112L"
"02.112M","Workwear Stretch Hose ""Slim Line""","260g/m², Oberstoff: 65% recyceltes Polyester, 32% Bio-Baumwolle, 3% Elasthan, Oberstoff 2: 94% Polyamid, 6% Elasthan, Besatz: 100% Polyamid","Schmaler Schnitt, Gürtelschlaufen, YKK Reißverschlüsse, Schubtaschen, diverse Werkzeugtaschen, Kniepolstertaschen verstärkt mit Cordura®, Taschen verstärkt mit Cordura®, reißfeste 3-fach Naht, robustes und strapazierfähiges Mischgewebe, hoher Tragekomfort durch elastische Einsätze, 40° waschbar, in 3 Längen erhältlich, im Webshop: kurz 02.112S, mittel 02.112M/02.112X, lang 02.112L, Größe 62 Art.Nr. 02.112X"
"02.112S","Workwear Stretch Hose ""Slim Line""","260g/m², Oberstoff: 65% recyceltes Polyester, 32% Bio-Baumwolle, 3% Elasthan, Oberstoff 2: 94% Polyamid, 6% Elasthan, Besatz: 100% Polyamid","Schmaler Schnitt, Gürtelschlaufen, YKK Reißverschlüsse, Schubtaschen, diverse Werkzeugtaschen, Kniepolstertaschen verstärkt mit Cordura®, Taschen verstärkt mit Cordura®, reißfeste 3-fach Naht, robustes und strapazierfähiges Mischgewebe, hoher Tragekomfort durch elastische Einsätze, 40° waschbar, in 3 Längen erhältlich, im Webshop: kurz 02.112S, mittel 02.112M/02.112X, lang 02.112L"
"02.112X","Workwear Stretch Hose ""Slim Line""","260g/m², Oberstoff: 65% recyceltes Polyester, 32% Bio-Baumwolle, 3% Elasthan, Oberstoff 2: 94% Polyamid, 6% Elasthan, Besatz: 100% Polyamid","Schmaler Schnitt, Gürtelschlaufen, YKK Reißverschlüsse, Schubtaschen, diverse Werkzeugtaschen, Kniepolstertaschen verstärkt mit Cordura®, Taschen verstärkt mit Cordura®, reißfeste 3-fach Naht, robustes und strapazierfähiges Mischgewebe, hoher Tragekomfort durch elastische Einsätze, 40° waschbar, im Webshop: kurz 02.112S, mittel 02.112M/02.112X, lang 02.112L"
"02.1130","Herren 2-Lagen Promo Softshell Jacke","280g/m², 100% Polyester","Wasserabweisend, atmungsaktiv, elastische Einfassung am Ärmel, hinterlegter Frontreißverschluss mit Kinnschutz, 2 Seitentaschen mit Reißverschluss, 2 Innentaschen, Microfleece, weiches 2-lagiges Softshell-Material, winddicht"
"02.1131","Damen Promo Jacke","100% Polyester","Taillierter Schnitt, wind- und wasserabweisend (600mm Wassersäule), Kapuze im Kragen mit Kordel, elastische Ärmelbündchen, 2 seitliche Einschubtaschen, Kordel am Saum, mit Elastikband angenehm um die Taille zu tragen, leichtes beschichtetes Polyestergewebe, in der Seitentasche verstaubar"
"02.1132","Herren Promo Jacke","100% Polyester","Wind- und wasserabweisend (600mm Wassersäule), Kapuze im Kragen mit Kordel, elastische Ärmelbündchen, 2 seitliche Einschubtaschen, Kordel am Saum, mit Elastikband angenehm um die Taille zu tragen, leichtes beschichtetes Polyestergewebe, in der Seitentasche verstaubar"
"02.1133","Damen Winterjacke","Oberstoff: 100% Polyester, Futterstoff: 100% Polyester, Wattierung: 100% Polyester","Wattierte Jacke im Materialmix mit Steppung und Teilungsnähten, taillierter Schnitt, winddicht und wasserabweisend (1.500mm Wassersäule), Stehkragen, Kapuze mit Weitenregulierung, elastische innenliegende Ärmelbündchen, durchgehende Windschutzblende, Innentasche, Seitentaschen mit Reißverschluss, Veredelungszugang am Rücken"
"02.1134","Herren Winterjacke","Oberstoff: 100% Polyester, Futterstoff: 100% Polyester, Wattierung: 100% Polyester","Wattierte Jacke im Materialmix mit Steppung und Teilungsnähten, winddicht und wasserabweisend (1.500mm Wassersäule), Stehkragen, Kapuze mit Weitenregulierung, elastische innenliegende Ärmelbündchen, durchgehende Windschutzblende, Innentasche, Seitentaschen mit Reißverschluss, Veredelungszugang am Rücken"
"02.1135","Damen Steppgilet","Oberstoff: 100% Polyamid, Futterstoff: 100% Polyamid, Wattierung: 100% Polyester","Taillierter Schnitt, wind- und wasserabweisendes Gewebe aus Polyamid, Stehkragen, elastischer Armabschluss, unterlegter Reißverschluss mit Kinnschutz, 2 Seitentaschen mit Reißverschluss, Veredelungszugang im Rücken"
"02.1136","Herren Steppgilet","Oberstoff: 100% Polyamid, Futterstoff: 100% Polyamid, Wattierung: 100% Polyester","Wind- und wasserabweisendes Gewebe aus Polyamid, Stehkragen, elastischer Armabschluss, unterlegter Reißverschluss mit Kinnschutz, 2 Seitentaschen mit Reißverschluss, Veredelungszugang im Rücken"
"02.1137","Damen Daunen Bodywarmer","Oberstoff: 100% Polyamid, Futterstoff: 100% Polyamid, Wattierung: 90% Daunen, 10% Federn","Taillierter Schnitt, leichtes wind- und wasserabweisendes Material, 2 Seitentaschen mit Reißverschluss, Innenfutter und Reißverschlüsse in Kontrastfarbe, Einfassung in Kontrastfarbe an Armausschnitt und Saum"
"02.1138","Herren Daunen Bodywarmer","Oberstoff: 100% Polyamid, Futterstoff: 100% Polyamid, Wattierung: 90% Daunen, 10% Federn","Leichtes wind- und wasserabweisendes Material, 2 Seitentaschen mit Reißverschluss, Innenfutter und Reißverschlüsse in Kontrastfarbe, Einfassung in Kontrastfarbe an Armausschnitt und Saum"
"02.1139","Damen Daunenjacke","Oberstoff: 100% Polyamid, Futterstoff: 100% Polyamid, Wattierung: 90% Daunen, 10% Federn","Taillierter Schnitt, leichtes wind- und wasserabweisendes Material, 2 Seitentaschen mit Reißverschluss, Innenfutter und Reißverschlüsse in Kontrastfarbe, Einfassung in Kontrastfarbe an Ärmel und Bündchen"
"02.113L","Workwear 4-Wege Stretch Hose ""Slim Line""","205g/m², Oberstoff: 73% Polyamid, 17% Baumwolle, 10% Elasthan, Besatz: 80% Polyamid, 15% Polyester, 5% Elasthan","Schmaler Schnitt, Gürtelschlaufen, YKK Reißverschlüsse, Schubtaschen, diverse Werkzeugtaschen, Kniepolstertaschen verstärkt mit Cordura®, Zollstocktasche, 1 Tasche mit Reißverschluss, Stiftefach, reißfeste 3-fach Naht, strapazierfähiger, elastischer 4-Wege Stretch mit hohem Elasthananteil für optimale Passform, 40° waschbar, in 3 Längen erhältlich, im Webshop: kurz 02.113S, mittel 02.113M/02.113X, lang 02.113L"
"02.113M","Workwear 4-Wege Stretch Hose ""Slim Line""","205g/m², Oberstoff: 73% Polyamid, 17% Baumwolle, 10% Elasthan, Besatz: 80% Polyamid, 15% Polyester, 5% Elasthan","Schmaler Schnitt, Gürtelschlaufen, YKK Reißverschlüsse, Schubtaschen, diverse Werkzeugtaschen, Kniepolstertaschen verstärkt mit Cordura®, Zollstocktasche, 1 Tasche mit Reißverschluss, Stiftefach, reißfeste 3-fach Naht, strapazierfähiger, elastischer 4-Wege Stretch mit hohem Elasthananteil für optimale Passform, 40° waschbar, in 3 Längen erhältlich, im Webshop: kurz 02.113S, mittel 02.113M/02.113X, lang 02.113L, Größe 62 Art.Nr. 02.113X"
"02.113S","Workwear 4-Wege Stretch Hose ""Slim Line""","205g/m², Oberstoff: 73% Polyamid, 17% Baumwolle, 10% Elasthan, Besatz: 80% Polyamid, 15% Polyester, 5% Elasthan","Schmaler Schnitt, Gürtelschlaufen, YKK Reißverschlüsse, Schubtaschen, diverse Werkzeugtaschen, Kniepolstertaschen verstärkt mit Cordura®, Zollstocktasche, 1 Tasche mit Reißverschluss, Stiftefach, reißfeste 3-fach Naht, strapazierfähiger, elastischer 4-Wege Stretch mit hohem Elasthananteil für optimale Passform, 40° waschbar, in 3 Längen erhältlich, im Webshop: kurz 02.113S, mittel 02.113M/02.113X, lang 02.113L"
"02.113X","Workwear 4-Wege Stretch Hose ""Slim Line""","205g/m², Oberstoff: 73% Polyamid, 17% Baumwolle, 10% Elasthan, Besatz: 80% Polyamid, 15% Polyester, 5% Elasthan","Schmaler Schnitt, Gürtelschlaufen, YKK Reißverschlüsse, Schubtaschen, diverse Werkzeugtaschen, Kniepolstertaschen verstärkt mit Cordura®, Zollstocktasche, 1 Tasche mit Reißverschluss, Stiftefach, reißfeste 3-fach Naht, strapazierfähiger, elastischer 4-Wege Stretch mit hohem Elasthananteil für optimale Passform, 40° waschbar, im Webshop: kurz 02.113S, mittel 02.113M/02.113X, lang 02.113L"
"02.1140","Herren Daunenjacke","Oberstoff: 100% Polyamid, Futterstoff: 100% Polyamid, Wattierung: 90% Daunen, 10% Federn","Leichtes wind- und wasserabweisendes Material, 2 Seitentaschen mit Reißverschluss, Innenfutter und Reißverschlüsse in Kontrastfarbe, Einfassung in Kontrastfarbe an Ärmel und Bündchen"
"02.1141","Damen Kurzmantel","Oberstoff: 100% Polyester, Futterstoff: 100% Polyamid","Femininer Schnitt, pflegeleichtes wasserabweisendes Material, 2 seitliche Eingrifftaschen, Innentasche mit Reißverschluss, Rückenschlitz für optimale Bewegungsfreiheit, knitterarm"
"02.1142","Herren Kurzmantel","Oberstoff: 100% Polyester, Futterstoff: 100% Polyamid","Pflegeleichtes wasserabweisendes Material, 2 seitliche Eingrifftaschen, Innentasche mit Reißverschluss, Rückenschlitz für optimale Bewegungsfreiheit, knitterarm"
"02.1143","Damen Kapuzenjacke","380g/m², 92% Polyester, 8% Elasthan","Leicht taillierter Schnitt, angeschnittene Kapuze mit Weitenregulierung, YKK Reißverschlüsse, aufgesetzte Kängurutasche mit Reißverschluss, elastische angenehme Interlock-Qualität"
"02.1144","Herren Kapuzenjacke","380g/m², 92% Polyester, 8% Elasthan","Angeschnittene Kapuze mit Weitenregulierung, YKK Reißverschlüsse, aufgesetzte Kängurutasche mit Reißverschluss, elastische angenehme Interlock-Qualität"
"02.1145","Damen 2-Lagen Kapuzen Softshell Jacke","260g/m², 94% Polyester, 6% Elasthan","Leicht taillierter Schnitt, wasser- und schmutzabweisend, angeschnittene Kapuze mit Weitenregulierung, elastischer Bund und elastische Ärmelbündchen, YKK Reißverschlüsse, aufgesetzte Kängurutasche mit Reißverschluss, 1 Innentasche, 2-lagiges Softshellmaterial mit Innenseite in Kontrastfarbe in Netzoptik"
"02.1146","Herren 2-Lagen Kapuzen Softshell Jacke","260g/m², 94% Polyester, 6% Elasthan","Wasser- und schmutzabweisend, angeschnittene Kapuze mit Weitenregulierung, elastischer Bund und elastische Ärmelbündchen, YKK Reißverschlüsse, aufgesetzte Kängurutasche mit Reißverschluss, 1 Innentasche, 2-lagiges Softshellmaterial mit Innenseite in Kontrastfarbe in Netzoptik"
"02.1147","Damen 2-Lagen Melange Softshell Jacke","280g/m², 100% Polyester","Leicht taillierter Schnitt, 2-lagiges weiches Softshellmaterial, Stehkragen, durchgehend unterlegter Frontreißverschluss mit Kinnschutz, 2 Seitentaschen und 1 Brusttasche mit Reißverschluss, Fleece Innenseite in Kontrastfarbe, Griff ähnelt glattem Fleecematerial"
"02.1148","Herren 2-Lagen Melange Softshell Jacke","280g/m², 100% Polyester","2-lagiges weiches Softshellmaterial, Stehkragen, durchgehend unterlegter Frontreißverschluss mit Kinnschutz, 2 Seitentaschen und 1 Brusttasche mit Reißverschluss, Fleece Innenseite in Kontrastfarbe, Griff ähnelt glattem Fleecematerial"
"02.1149","Damen Daunenjacke","Oberstoff: 100% Polyester, Futterstoff: 100% Polyester, Wattierung: 90% Daunen, 10% Federn","Leicht taillierter Schnitt, wind- und wasserabweisend, YKK Reißverschlüsse, 2 Seitentaschen mit Reißverschluss, 2 Innentaschen, Innenfutter in Kontrastfarbe, geklebte Steppung, Kordel mit Stopper am Saum zur Weitenregulierung, leichtes Material"
"02.1150","Herren Daunenjacke","Oberstoff: 100% Polyester, Futterstoff: 100% Polyester, Wattierung: 90% Daunen, 10% Federn","Wind- und wasserabweisend, YKK Reißverschlüsse, 2 Seitentaschen mit Reißverschluss, 2 Innentaschen, Innenfutter in Kontrastfarbe, geklebte Steppung, Kordel mit Stopper am Saum zur Weitenregulierung, leichtes Material"
"02.1151","Damen Kapuzen Daunenjacke","Oberstoff: 100% Polyester, Futterstoff: 100% Polyester, Wattierung: 90% Daunen, 10% Federn","Leicht taillierter Schnitt, wind- und wasserabweisend, angeschnittene verstellbare Kapuze, YKK Reißverschlüsse, 2 Seitentaschen mit Reißverschluss, 2 Innentaschen, Innenfutter in Kontrastfarbe, Kordel mit Stopper am Saum zur Weitenregulierung, leichtes Material"
"02.1152","Herren Kapuzen Daunenjacke","Oberstoff: 100% Polyester, Futterstoff: 100% Polyester, Wattierung: 90% Daunen, 10% Federn","Wind- und wasserabweisend, angeschnittene verstellbare Kapuze, YKK Reißverschlüsse, 2 Seitentaschen mit Reißverschluss, 2 Innentaschen, Innenfutter in Kontrastfarbe, Kordel mit Stopper am Saum zur Weitenregulierung, leichtes Material"
"02.1153","Damen 3-in-1 Jacke","Oberstoff: 100% Polyester, Futterstoff: 100% Polyester, Innenjacke: 220g/m², 100% Polyester, Fleece","Außenjacke: leicht taillierter Schnitt, wind- und wasserdicht (5.000mm Wassersäule), wasserdichte Reißverschlüsse, atmungsaktiv (5.000g/m² in 24h), angeschnittene Kapuze mit Weitenregulierung, unterlegter Frontreißverschluss mit Kinnschutz, 2 Seitentaschen mit Reißverschluss, Innentasche, Nähte versiegelt, Veredelungszugang am Rücken, BIONIC-FINISH®ECO, reflektierende Details (ohne Schutzfunktion) an Ärmeln und Rückenteil, Innenjacke: leicht taillierter Schnitt, Stehkragen, 2 Seitentaschen, Einfassung in Kontrastfarbe, passend zur Außenjacke, Melange-Optik"
"02.1154","Herren 3-in-1 Jacke","Oberstoff: 100% Polyester, Futterstoff: 100% Polyester, Innenjacke: 220g/m², 100% Polyester, Fleece","Außenjacke: wind- und wasserdicht (5.000mm Wassersäule), wasserdichte Reißverschlüsse, atmungsaktiv (5.000g/m² in 24h), angeschnittene Kapuze mit Weitenregulierung, unterlegter Frontreißverschluss mit Kinnschutz, 2 Seitentaschen mit Reißverschluss, Innentasche, Nähte versiegelt, Veredelungszugang am Rücken, BIONIC-FINISH®ECO, reflektierende Details (ohne Schutzfunktion) an Ärmeln und Rückenteil, Innenjacke: Stehkragen, 2 Seitentaschen, Einfassung in Kontrastfarbe, passend zur Außenjacke, Melange-Optik"
"02.1155","Damen Steppjacke","100% Polyamid, DuPont™ Sorona® Wattierung: 100% Polyester, Futter: 100% Polyamid","Leicht taillierter Schnitt, wind- und wasserabweisendes Gewebe, angeschnittene Kapuze, elastischer Abschluss an Kapuze, Ärmel und Bündchen, YKK Reißverschlüsse, 2 Seitentaschen und 1 Brusttasche mit Reißverschluss, 2 Innentaschen"
"02.1156","Herren Steppjacke","100% Polyamid, DuPont™ Sorona® Wattierung: 100% Polyester, Futter: 100% Polyamid","Wind- und wasserabweisendes Gewebe, angeschnittene Kapuze, elastischer Abschluss an Kapuze, Ärmel und Bündchen, YKK Reißverschlüsse, 2 Seitentaschen und 1 Brusttasche mit Reißverschluss, 2 Innentaschen"
"02.1157","Damen Business Jacke","Außen: 100% Polyamid, Futter: 100% Polyamid, DuPont™ Sorona® Wattierung: 100% Polyester","Leicht taillierter Schnitt, wind- und wasserdicht (5.000mm Wassersäule), atmungsaktiv und wasserdampfdurchlässig (1.500g/m² in 24h), Stehkragen, verstellbare abnehmbare Kapuze, elastische innenliegende Ärmelbündchen, durchgehend unterlegter Frontreißverschluss, YKK Reißverschlüsse, 2 Fronttaschen, 2 aufgesetzte Brusttaschen, 1 Innentasche mit Reißverschluss, gesteppte Innenseite, innenliegende elastische Kordel zur Taillenregulierung, Veredelungszugang im Rücken, glatte Oberfläche"
"02.1158","Herren Business Jacke","Außen: 100% Polyamid, Futter: 100% Polyamid, DuPont™ Sorona® Wattierung: 100% Polyester","Wind- und wasserdicht (5.000mm Wassersäule), atmungsaktiv und wasserdampfdurchlässig (1.500g/m² in 24h), Stehkragen, verstellbare abnehmbare Kapuze, elastische innenliegende Ärmelbündchen, durchgehend unterlegter Frontreißverschluss, YKK Reißverschlüsse, 2 Fronttaschen, 2 aufgesetzte Brusttaschen, 1 Innentasche mit Reißverschluss, gesteppte Innenseite, innenliegende elastische Kordel zur Taillenregulierung, Veredelungszugang im Rücken, glatte Oberfläche"
"02.1161","Leichte Damen Steppjacke","Oberstoff: 100% recyceltes Polyester, Wattierung: 100% Polyester, DuPont™ Sorona® Wattierung","Stehkragen, Raglanärmel, YKK Reißverschlüsse, durchgehende Windschutzblende mit Kinnschutz, 2 Seitentaschen mit Reißverschluss, 2 Innentaschen, elastischer Kordelzug am Saum, zweiflächiger Webstoff"
"02.1162","Leichte Herren Steppjacke","Oberstoff: 100% recyceltes Polyester, Wattierung: 100% Polyester, DuPont™ Sorona® Wattierung","Stehkragen, Raglanärmel, YKK Reißverschlüsse, durchgehende Windschutzblende mit Kinnschutz, 2 Seitentaschen mit Reißverschluss, 2 Innentaschen, elastischer Kordelzug am Saum, zweiflächiger Webstoff"
"02.1167","Damen Steppjacke","Oberstoff: 100% recyceltes Polyester, Futter: 100% recyceltes Polyester, Wattierung: 100% Polyester, DuPont™ Sorona® Wattierung","Leicht taillierter Schnitt, wasser- und schmutzabweisend durch BIONIC-FINISH®ECO, angeschnittene verstellbare Kapuze, elastische innenliegende Ärmelbündchen, Weitenregulierung am Saum, 2-Wege Reißverschluss, YKK Reißverschlüsse, durchgehende Windschutzblende mit Kinnschutz, 1 Innentasche, 2 Seitentaschen mit Reißverschluss, Innenfutter in Kontrastfarbe, Ripstop-Gewebe"
"02.1168","Herren Steppjacke","Oberstoff: 100% recyceltes Polyester, Futter: 100% recyceltes Polyester, Wattierung: 100% Polyester, DuPont™ Sorona® Wattierung","Wasser- und schmutzabweisend durch BIONIC-FINISH®ECO, angeschnittene verstellbare Kapuze, elastische innenliegende Ärmelbündchen, Weitenregulierung am Saum, 2-Wege Reißverschluss, YKK Reißverschlüsse, durchgehende Windschutzblende mit Kinnschutz, 1 Innentasche, 2 Seitentaschen mit Reißverschluss, Innenfutter in Kontrastfarbe, Ripstop-Gewebe"
"02.1169","Damen 3-Lagen Softshell Gilet","290g/m², 100% recyceltes Polyester","Leicht taillierter Schnitt, 3-lagiges Funktionsmaterial mit TPU-Membran, wind- und wasserabweisend (5.000mm Wassersäule), atmungsaktiv, Stehkragen, YKK Reißverschlüsse, durchgehend unterlegter 2-Wege Reißverschluss mit Kinnschutz, Brusttasche mit Reißverschluss, 2 Seitentaschen, Nähte nicht versiegelt, Netzfutter vorne, Veredelungszugang im Vorderteil, innen aus weichem Microfleece, wasserdampfdurchlässig"
"02.1170","Herren 3-Lagen Softshell Gilet","290g/m², 100% recyceltes Polyester","3-lagiges Funktionsmaterial mit TPU-Membran, wind- und wasserabweisend (5.000mm Wassersäule), atmungsaktiv, Stehkragen, YKK Reißverschlüsse, durchgehend unterlegter 2-Wege Reißverschluss mit Kinnschutz, Brusttasche mit Reißverschluss, 2 Seitentaschen, Nähte nicht versiegelt, Netzfutter vorne, Veredelungszugang im Vorderteil, innen aus weichem Microfleece, wasserdampfdurchlässig"
"02.1171","Damen 3-Lagen Softshell Jacke","290g/m², 100% recyceltes Polyester","Leicht taillierter Schnitt, 3-lagiges Funktionsmaterial mit TPU-Membran, wind- und wasserabweisend (5.000mm Wassersäule), atmungsaktiv, Stehkragen, YKK Reißverschlüsse, durchgehend unterlegter 2-Wege Reißverschluss mit Kinnschutz, Brusttasche mit Reißverschluss, 2 Seitentaschen, Nähte nicht versiegelt, Netzfutter vorne, Veredelungszugang im Vorderteil, innen aus weichem Microfleece, wasserdampfdurchlässig"
"02.1172","Herren 3-Lagen Softshell Jacke","290g/m², 100% recyceltes Polyester","3-lagiges Funktionsmaterial mit TPU-Membran, wind- und wasserabweisend (5.000mm Wassersäule), atmungsaktiv, Stehkragen, YKK Reißverschlüsse, durchgehend unterlegter 2-Wege Reißverschluss mit Kinnschutz, Brusttasche mit Reißverschluss, 2 Seitentaschen, Nähte nicht versiegelt, Netzfutter vorne, Veredelungszugang im Vorderteil, innen aus weichem Microfleece, wasserdampfdurchlässig"
"02.1173","Damen Wintersport Jacke","100% Polyester, Wattierung: 100% Polyester, DuPont™ Sorona® Wattierung","Leicht taillierter Schnitt, wind- und wasserdicht (10.000mm Wassersäule), atmungsaktiv und wasserdampfdurchlässig (5.000g/m² in 24h), regulierbarer Schneefang, gefütterte Kapuze mit mehrfacher Weitenregulierung, Weitenregulierung am Saum, elastische Ärmelbündchen mit Daumenschlupf, YKK Reißverschlüsse, durchgehende Windschutzblende mit Kinnschutz, durchgehend unterlegter wasserdichter 2-Wege Reißverschluss, Netztasche innen, Innentasche mit Reißverschluss, kleine Tasche mit Reißverschluss am linken Unterarm, 4 Fronttaschen mit wasserdichten Reißverschlüssen, Nähte versiegelt, Streifen in Kontrastfarbe, Veredelungszugang am Rücken"
"02.1174","Herren Wintersport Jacke","100% Polyester, Wattierung: 100% Polyester, DuPont™ Sorona® Wattierung","Wind- und wasserdicht (10.000mm Wassersäule), atmungsaktiv und wasserdampfdurchlässig (5.000g/m² in 24h), regulierbarer Schneefang, gefütterte Kapuze mit mehrfacher Weitenregulierung, Weitenregulierung am Saum, elastische Ärmelbündchen mit Daumenschlupf, YKK Reißverschlüsse, durchgehende Windschutzblende mit Kinnschutz, durchgehend unterlegter wasserdichter 2-Wege Reißverschluss, Netztasche innen, Innentasche mit Reißverschluss, kleine Tasche mit Reißverschluss am linken Unterarm, 4 Fronttaschen mit wasserdichten Reißverschlüssen, Nähte versiegelt, Streifen in Kontrastfarbe, Veredelungszugang am Rücken"
"02.1175","Damen Business Parka","100% recyceltes Polyester, Wattierung: 100% Polyester, DuPont™ Sorona® Wattierung","Wind- und wasserdicht (5.000mm Wassersäule), atmungsaktiv und wasserdampfdurchlässig (2.000g/m² in 24h), gefütterte Kapuze mit mehrfacher Weitenregulierung, elastische innenliegende Ärmelbündchen, 2-Wege Reißverschluss mit durchgehender Windschutzblende, YKK Reißverschlüsse, 6 Taschen vorne, 2 Taschen mit Reißverschluss, Innentasche mit Reißverschluss, innenliegende elastische Kordel zur Taillenregulierung, Veredelungszugang am Rücken"
"02.1176","Herren Business Parka","100% recyceltes Polyester, Wattierung: 100% Polyester, DuPont™ Sorona® Wattierung","Wind- und wasserdicht (5.000mm Wassersäule), atmungsaktiv und wasserdampfdurchlässig (2.000g/m² in 24h), gefütterte Kapuze mit mehrfacher Weitenregulierung, elastische innenliegende Ärmelbündchen, 2-Wege Reißverschluss mit durchgehender Windschutzblende, YKK Reißverschlüsse, 6 Taschen vorne, 2 Taschen mit Reißverschluss, Innentasche mit Reißverschluss, innenliegende elastische Kordel zur Taillenregulierung, Veredelungszugang am Rücken"
"02.1177","Damen Sweatblazer","290g/m², 70% Baumwolle, 30% Polyester, French Terry (innen nicht angeraut)","Reverskragen, Ärmel mit Schlitz und 3 Knöpfen, 2 Knöpfe, 2 aufgesetzte Taschen, Rückseite mit Mittelnaht, formgebende Teilungsnähte im Vorder- und Rückenteil, Schlitz am Rücken, ungefüttert"
"02.1178","Herren Sweatblazer","290g/m², 70% Baumwolle, 30% Polyester, French Terry (innen nicht angeraut)","Reverskragen mit Knopfloch, Ärmel mit Schlitz und 3 Knöpfen, 2 Knöpfe, 2 aufgesetzte Taschen, Rückseite mit Mittelnaht, formgebende Teilungsnähte im Vorder- und Rückenteil, Schlitz am Rücken, ungefüttert"
"02.1179","Damen Outdoor Softshell Jacke","140g/m², 100% recyceltes Polyester, TPU-Membran","Leicht taillierter Schnitt, wind- und wasserdicht (10.000mm Wassersäule), wasserdichte Reißverschlüsse, atmungsaktiv und wasserdampfdurchlässig (5.000g/m² in 24h), verstellbare Kapuze, Weitenregulierung an Ärmelbündchen durch Klettverschluss, YKK Reißverschlüsse, durchgehend unterlegter 2-Wege Reißverschluss mit Kinnschutz, 1 Innentasche, 2 Seitentaschen mit Reißverschluss, Nähte versiegelt, ergonomisch verlängertes Rückenteil, leichtes Netzfutter, Veredelungszugang am Rücken, reflektierende Details an Ärmel und Rückenteil"
"02.1180","Herren Outdoor Softshell Jacke","140g/m², 100% recyceltes Polyester, TPU-Membran","Wind- und wasserdicht (10.000mm Wassersäule), wasserdichte Reißverschlüsse, atmungsaktiv und wasserdampfdurchlässig (5.000g/m² in 24h), verstellbare Kapuze, Weitenregulierung an Ärmelbündchen durch Klettverschluss, YKK Reißverschlüsse, durchgehend unterlegter 2-Wege Reißverschluss mit Kinnschutz, 1 Innentasche, 2 Seitentaschen mit Reißverschluss, Nähte versiegelt, ergonomisch verlängertes Rückenteil, leichtes Netzfutter, Veredelungszugang am Rücken, reflektierende Details an Ärmel und Rückenteil"
"02.1201","Damen Zip-Off Trekking Hose","85% Polyamid, 15% Elasthan","Wasser- und schmutzabweisend durch BIONIC-FINISH®ECO, teilelastischer Bund mit Gürtelschlaufen und Gürtel, alle Taschen mit Reißverschluss, 2 Seitentaschen, 1 Gesäßtasche, 1 Tasche am Bein, schnelltrocknend, zu Shorts abzippbar"
"02.1202","Herren Zip-Off Trekking Hose","85% Polyamid, 15% Elasthan","Wasser- und schmutzabweisend durch BIONIC-FINISH®ECO, teilelastischer Bund mit Gürtelschlaufen und Gürtel, alle Taschen mit Reißverschluss, 2 Seitentaschen, 1 Gesäßtasche, 1 Tasche am Bein, schnelltrocknend, zu Shorts abzippbar"
"02.1203","Damen Trekking Hose kurz","85% Polyamid, 15% Elasthan","Wasser- und schmutzabweisend durch BIONIC-FINISH®ECO, teilelastischer Bund mit Gürtelschlaufen und Gürtel, alle Taschen mit Reißverschluss, 2 Seitentaschen, 1 Gesäßtasche, 1 Tasche am Bein, schnelltrocknend"
"02.1204","Herren Trekking Hose kurz","85% Polyamid, 15% Elasthan","Wasser- und schmutzabweisend durch BIONIC-FINISH®ECO, teilelastischer Bund mit Gürtelschlaufen und Gürtel, alle Taschen mit Reißverschluss, 2 Seitentaschen, 1 Gesäßtasche, 1 Tasche am Bein, schnelltrocknend"
"02.1205","Damen Trekking Hose","85% Polyamid, 15% Elasthan","Wasser- und schmutzabweisend durch BIONIC-FINISH®ECO, teilelastischer Bund mit Gürtelschlaufen und Gürtel, alle Taschen mit Reißverschluss, 2 Seitentaschen, 1 Gesäßtasche, 1 Tasche am Bein, Einsätze in Kontrastfarbe am Knie und Gesäß, schnelltrocknend"
