"stil","ime_anglescina","opis_materiala_anglescina","opis_artikla_anglescina"
"02.0855","Ladies' Workwear Fleece Vest -Strong","280g/m², 100% polyester","Lightly tailored fit, stand-up collar, lined zip with chin guard, 2 side pockets with zip, elastic softshell inserts in contrasting color on the sides, easy-care antipilling microfleece"
"02.0856","Men's Workwear Fleece Vest - Strong","280g/m², 100% polyester","Stand-up collar, lined zip with chin guard, 2 side pockets with zip, elastic softshell inserts in contrasting color on the sides, easy-care antipilling microfleece"
"02.0857","Ladies' Workwear Piqué Polo - Color","200g/m², 50% cotton, 50% polyester","Lightly tailored fit, knitted polo shirt collar and cuffs, 4- button-placket, necktape, contrasting stripes on collar, inserts in contrasting color on side and shoulder, piping on the front shoulder, 60° washable, suitable for tumble drying"
"02.0858","Men's Workwear Piqué Polo - Color","200g/m², 50% cotton, 50% polyester","Knitted polo shirt collar and cuffs, 3- button-placket, necktape, contrasting stripes on collar, inserts in contrasting color on side and shoulder, piping on the front shoulder, 60° washable, suitable for tumble drying"
"02.0859","Ladies' Workwear T-Shirt - Color","160g/m², 50% cotton, 50% polyester","Lightly tailored fit, necktape, cuffs at the neck with elastane, inserts in contrasting color on side and shoulder, piping on the front shoulder, 60° washable, suitable for tumble drying"
"02.0860","Men's Workwear T-Shirt - Color","160g/m², 50% cotton, 50% polyester","Necktape, cuffs at the neck with elastane, inserts in contrasting color on side and shoulder, piping on the front shoulder, 60° washable, suitable for tumble drying"
"02.0861","Ladies' Workwear Knitted Fleece Jacket - Strong","280g/m², 100% polyester","Lightly tailored fit, stand-up collar, elastic softshell inserts on sides, shoulders and sleeves, full-length lined zip with chin guard, 2 side pockets with concealed zip, soft, warming, easy-care material in melange-look, outside: knitted look, roughened inside"
"02.0862","Men's Workwear Knitted Fleece Jacket - Strong","280g/m², 100% polyester","Stand-up collar, elastic softshell inserts on sides, shoulders and sleeves, full-length lined zip with chin guard, 2 side pockets with concealed zip, soft, warming, easy-care material in melange-look, outside: knitted look, roughened inside"
"02.0864","Men's Workwear Knitted Fleece 1/2 Zip - Strong","280g/m², 100% polyester","Stand-up collar with concealed zip with chin guard, soft, warming, easy-care material in melange-look, outside: knitted look, elastic softshell inserts on sides, shoulders and sleeves, roughened inside"
"02.0865","Ladies' Workwear Polo, Breast Pocket, long-sleeve","200g/m², 50% cotton, 50% polyester","Lightly tailored fit, knitted polo collar, 4 button-placket, necktape, loose collar patch for easy labelling, cuffs with elastane, breast pocket with flap and button, loose pocket pouch for easy embroidery, 60° washable, suitable for tumble drying"
"02.0866","Men's Workwear Polo with Breast Pocket long-sleeve","200g/m², 50% cotton, 50% polyester","Knitted polo collar, 3 button-placket, necktape, loose collar patch for easy labelling, cuffs with elastane, breast pocket with flap and button, loose pocket pouch for easy embroidery, 60° washable, suitable for tumble drying"
"02.0867","Ladies' Workwear Polo with Breast Pocket","200g/m², 50% cotton, 50% polyester","Lightly tailored fit, knitted polo shirt collar and cuffs, 4 button-placket, necktape, loose collar patch for easy labelling, breast pocket with flap and button, loose pocket pouch for easy embroidery, 60° washable, suitable for tumble drying"
"02.0868","Workwear Sweater 1/2 Zip - Color","290g/m², 70% cotton, 30% polyester","Ribbed cuffs on sleeve, and borders with elastane, inserts in contrasting color on side and shoulder, piping on the front shoulder, roughened inside, 60° washable, suitable for tumble drying"
"02.0869","Ladies' Workwear Sweat Jacket - Color","290g/m², 70% cotton, 30% polyester","Lightly tailored fit, ribbed cuffs on sleeve, and borders with elastane, 2 side pockets with concealed zip, inserts in contrasting color on side and shoulder, piping on the front shoulder, roughened inside, 60° washable, suitable for tumble drying"
"02.0870","Men's Workwear Sweat Jacket - Color","290g/m², 70% cotton, 30% polyester","Ribbed cuffs on sleeve, and borders with elastane, 2 side pockets with concealed zip, inserts in contrasting color on side and shoulder, piping on the front shoulder, roughened inside, 60° washable, suitable for tumble drying"
"02.0871","Workwear Denim Stretch Bermudas","85% certified organic cotton, 13% recycled polyester, 2% elastane, trimming: 100% polyamide","Elastic waistband with belt loops, YKK zips, several tool pockets, 2 back pockets, ruler pocket, mobile phone pocket and pen pocket, 2 pockets with coin compartment, tearproof 3-way stitched seam"
"02.0872","Workwear Bermuda - Color","250g/m², 97% cotton, 3% elastane","Ergonomic fit thanks to elastane content, elastic waistband with belt loops, concealed buttons and zips, slide-in pockets, several tool pockets, ruler pocket, mobile phone pocket and pen pocket, tearproof 3-way stitched seam, elastic light canvas quality, 60° washable, suitable for tumble drying, size 62 Art.Nr. 02.872X"
"02.0873","Ladies' Organic Workwear Polo","200g/m², 50% polyester, 50% combed ring-spun certified organic cotton","Knitted polo collar, button-placket with 4 buttons, necktape, knitted cuffs, side slits, 60° washable, suitable for tumble drying"
"02.0874","Men's Organic Workwear Polo","200g/m², 50% polyester, 50% combed ring-spun certified organic cotton","Knitted polo collar, button-placket with 3 buttons, necktape, knitted cuffs, 60° washable, suitable for tumble drying"
"02.0880","Workwear Bermuda Shorts - Solid","260g/m², 65% polyester, 35% cotton","Elastic waistband with belt loops, YKK zips, concealed buttons and zips, slide-in pockets, 2 pockets with zip, ruler pocket and pen holders reinforced with Cordura®, mobile phone pocket, tearproof 3-way stitched seam, sturdy and durable blended fabric, reflective elements (without protective function) on pockets, 60° washable, suitable for tumble drying, size 62 Art.Nr. 02.880X"
"02.0881","Workwear Softshell light Vest - Solid","250g/m², 100% polyester, inside: interlock","Wind and water repellent (2,000mm water column), breathable and permeable to water vapor (2,000g/m² in 24h), stand-up collar, elastic band on armholes, full-length lined zip with windshield and chin guard, YKK zips, concealed buttons and zips, side pockets and inner pocket with zip, breast pocket with loose pocket pouch for easy embroidery, various inside pockets, longer cut back, sturdy and durable softshell material, reflective elements (without protective function) on pockets, shoulder and back"
"02.0882","Workwear Softshell light Jacket - Solid","250g/m², 100% polyester, inside: interlock","Wind and water repellent (2,000mm water column), breathable and permeable to water vapor (2,000g/m² in 24h), stand-up collar, ergonomically shaped sleeves, inside cuffs, full-length lined zip with windshield and chin guard, YKK zips, concealed buttons and zips, side pockets and inner pocket with zip, breast pocket with loose pocket pouch for easy embroidery, various inside pockets, longer cut back, reflective elements (without protective function) on pockets, sleeves, shoulder and back"
"02.0883","Workwear Softshell Vest - Solid","320g/m², 100% polyester, inner lining: fleece","Wind and water repellent (2,000mm water column), breathable and permeable to water vapor (2,000g/m² in 24h), stand-up collar, elastic band on armholes, full-length lined zip with windshield and chin guard, YKK zips, concealed buttons and zips, side pockets and inner pocket with zip, breast pocket with loose pocket pouch for easy embroidery, various inside pockets, longer cut back, sturdy and durable softshell material, reflective elements (without protective function) on pockets, shoulder and back"
"02.0884","Workwear Softshell Jacket - Solid","320g/m², 100% polyester, inner lining: fleece","Wind and water repellent (2,000mm water column), breathable and permeable to water vapor (2,000g/m² in 24h), stand-up collar, ergonomically shaped sleeves, inside cuffs, full-length lined zip with windshield and chin guard, YKK zips, concealed buttons and zips, side pockets and inner pocket with zip, breast pocket with loose pocket pouch for easy embroidery, various inside pockets, longer cut back, sturdy and durable softshell material, reflective elements (without protective function) on pockets, sleeves, shoulder and back"
"02.0885","Workwear Softshell Padded Vest - Solid","100% polyester, padding: 100% polyester, lining: 100% polyester","Wind and water repellent (2,000mm water column), breathable and permeable to water vapor (2,000g/m² in 24h), stand-up collar with soft fleece inside, full-length lined zip with windshield and chin guard, YKK zips, concealed buttons and zips, side pockets and inner pocket with zip, breast pocket with loose pocket pouch for easy embroidery, various inside pockets, longer cut back, decoration access at the back, sturdy and durable softshell material, reflective elements (without protective function) on pockets, shoulder and back"
"02.0886","Workwear Softshell Padded Jacket - Solid","100% polyester, padding: 100% polyester, lining: 100% polyester","Wind and water repellent (2,000mm water column), breathable and permeable to water vapor (2,000g/m² in 24h), stand-up collar with soft fleece inside, detachable adjustable hood, ergonomically shaped sleeves, inside cuffs, full-length lined zip with windshield and chin guard, YKK zips, concealed buttons and zips, side pockets and inner pocket with zip, breast pocket with loose pocket pouch for easy embroidery, various inside pockets, longer cut back, decoration access at the back, sturdy and durable softshell material, reflective elements (without protective function) on pockets, sleeves, shoulder and back"
"02.0887","Workwear Overall - Solid","260g/m², 65% polyester, 35% cotton","Reinforced knee area, concealed 2-way YKK zipper, 2 slide-in pocket, several tool pockets, 2 back pockets with flap, mobile phone pocket, ruler pocket, 1 pocket with zip, tearproof 3-way stitched seam, elastic band and movement pleat at the back, decoration access at chest area, sturdy and durable blended fabric, reflective elements (without protective function) on pockets, shoulder, back and legs, 60° washable, suitable for tumble drying"
"02.0888","Workwear Coat - Solid","260g/m², 65% polyester, 35% cotton","Concealed button-placket with normal buttons, 2 side pockets, breast pocket with pens pocket, tearproof 3-way stitched seam, sturdy and durable blended fabric, melange look, 60° washable, suitable for tumble drying"
"02.0889","Ladies' Workwear T-Shirt - Solid","160g/m², 50% combed ringspun organic cotton, 50% polyester","Lightly tailored fit, necktape, cuffs at the neck with elastane, contrasting piping at the front and at the back, UV protection 50+, 60° washable, suitable for tumble drying"
"02.0890","Men's Workwear T-Shirt - Solid","160g/m², 50% combed ringspun organic cotton, 50% polyester","Necktape, cuffs at the neck with elastane, contrasting piping at the front and at the back, UV protection 50+, 60° washable, suitable for tumble drying"
"02.0891","Ladies' Workwear Polo - Solid","200g/m², 50% combed ringspun organic cotton, 50% polyester","Lightly tailored fit, knitted collar and cuffs, 4 button-placket with tone-in-tone buttons, contrasting piping at the front and at the back, UV protection 50+, 60° washable, suitable for tumble drying"
"02.0892","Men's Workwear Polo - Solid","200g/m², 50% combed ringspun organic cotton, 50% polyester","Knitted collar and cuffs, 3 button-placket with tone-in-tone buttons, contrasting piping at the front and at the back, UV protection 50+, 60° washable, suitable for tumble drying"
"02.0893","Ladies' Workwear Sweat Jacket - Solid","290g/m², 70% combed ringspun cotton, 30% polyester","Stand-up collar, ribbed cuffs on sleeve, and borders with elastane, YKK zips, 2 side pockets with concealed zip, contrasting piping at the front and at the back, roughened inside, 60° washable, suitable for tumble drying"
"02.0894","Men's Workwear Sweat Jacket - Solid","290g/m², 70% combed ringspun cotton, 30% polyester","Stand-up collar, ribbed cuffs on sleeve, and borders with elastane, YKK zips, 2 side pockets with concealed zip, contrasting piping at the front and at the back, roughened inside, 60° washable, suitable for tumble drying"
"02.0895","Workwear Sweater 1/2 Zip - Solid","290g/m², 70% combed ringspun cotton, 30% polyester","Stand-up collar, ribbed cuffs on sleeve, and borders with elastane, YKK zip, contrasting piping at the front and at the back, roughened inside, 60° washable, suitable for tumble drying"
"02.0897","Ladies' Workwear Knitted Fleece Jacket - Solid","280g/m², 100% polyester","Lightly tailored fit, stand-up collar, rolled edges, full-length lined zip with chin guard, YKK zips, 2 side pockets with concealed zip, 2 inside pockets, melange look, roughened inside, reflective elements (without protective function) on zip, shoulder and back"
"02.0898","Men's Workwear Knitted Fleece Jacket - Solid","280g/m², 100% polyester","Stand-up collar, rolled edges, full-length lined zip with chin guard, YKK zips, 2 side pockets with concealed zip, 2 inside pockets, melange look, roughened inside, reflective elements (without protective function) on zip, shoulder and back"
"02.0900","Fleece Blanket with Cover","260g/m², 100% polyester","Easy-care, thermal insulation, size: folded as a cushion approx. 40x40cm, enfolded 130x180cm"
"02.0901","Ladies' T-Shirt","150g/m², 100% cotton, single jersey","Lightly tailored fit, generous collar with fine knit cuff, necktape, double seams on shoulders, neck and armholes"
"02.0902","Ladies' Tank Top","150g/m², 100% ringspun cotton, single jersey","Lightly tailored fit, fine knit cuff on neck and sleeves"
"02.0903","Ladies' T-Shirt long-sleeve","150g/m², 100% combed ringspun cotton, single jersey","Lightly tailored fit, generous collar with fine knit cuff, necktape, double seams on shoulders, neck and armholes"
"02.0906","Ladies' Rib T-Shirt long-sleeve","210g/m², 100% preshrunk combed ringspun cotton","Tailored fit (size M approx. 64cm long), 1x1 rib knit, smooth elastic cotton"
"02.0911","Men's Tailored T-Shirt","160g/m², 100% preshrunk combed ringspun cotton, single jersey","Tailored fit, tight collar, 1x1 ribbed collar and necktape, shape-retaining"
"02.0912","Men's Tailored V-Neck T-Shirt","160g/m², 100% preshrunk combed ringspun cotton, single jersey","Tight V-neck t-shirt, tailored fit, deep V-neck edged with 1x1 cuffs, shape-retaining"
"02.0913","Men's T-Shirt long-sleeve","150g/m², 100% combed ringspun cotton, single jersey","Straight cut, tubular construction, 1x1 ribbed collar and necktape"
"02.0916","Men's Rib T-Shirt long-sleeve","210g/m², 100% preshrunk combed ringspun cotton","Tailored fit, 1x1 rib knit collar"
"02.0918","Piqué Polo","190g/m², 100% combed ringspun cotton","Knitted polo shirt collar and cuffs, necktape, buttons in mother-of-pearl look, double seams on shoulders and armholes, side slits"
"02.0920","Men's T-Shirt with Breast Pocket","180g/m², 100% combed ringspun cotton","Round neckline with elastane, necktape, stitched breast pocket, double seams on shoulders, neck and armholes, shape-retaining, 40° washable"
"02.0922","Piqué Polo with Breast Pocket","200g/m², 100% combed ringspun cotton","Knitted polo shirt collar and cuffs, buttons tone-in-tone, stitched breast pocket, double seams on shoulders and armholes, side slits, fine piqué, shape-retaining, 40° washable"
"02.0924","Sweater with Breast Pocket","300g/m², 80% cotton, 20% polyester","Necktape and half-moon trimming at neck, cuffs with elastane, sturdy double seams on the neck and armholes, shoulders and waistband, 3-thread sweat quality, roughened inside, shape-retaining, 60° washable"
"02.0926","Ladies' Stretch T-Shirt","170g/m², 95% combed ringspun cotton, 5% elastane, single jersey","Generous cut, larger neck opening"
"02.0927","Ladies' Stretch T-Shirt long-sleeve","170g/m², 95% combed ringspun cotton, 5% elastane, elastic single jersey","Generous cut"
"02.0928","Ladies' Stretch V-Neck T-Shirt","170g/m², 95% combed ringspun cotton, 5% elastane, single jersey","Generous cut, V-neck"
"02.0929","Ladies' Stretch V-Neck T-Shirt long-sleeve","170g/m², 95% combed ringspun cotton, 5% elastane, single jersey","Generous cut, V-neck"
"02.0934","Ladies' Piqué Polo Tipping","220g/m², 100% combed ringspun cotton","Knitted polo shirt collar and cuffs, necktape, buttons tone-in-tone, double seams on shoulders, sleeves and cuffs, side slits"
"02.0950","Fleece Blanket","240g/m², 100% polyester, antipilling fleece","Multifunctional fleece blanket, size: 130x170cm, supplied as decorative gift pack with satin ribbon"
"02.0951","Microfibre Fleece Blanket","200g/m², 100% polyester","Multifunctional fleece blanket, size: 160x120cm, supplied as decorative gift pack wrapped rolls"
"02.0952","2-Layer Fleece Blanket","320g/m², 100% polyester microfleece","Available in 2-tone shades, size: 150x170cm, supplied as decorative gift pack wrapped rolls"
"02.0953","Picnic Fleece Blanket","160g/m², 100% polyester","Portable soft fleece picnic blanket, waterproof underside with PVC coating, fastens into a neat package with carry handle, size: 130x150cm"
"02.0954","Fleece Blanket","210g/m², 100% polyester","Merrowed borders, imprinted on both sides with graphic design in interior trend colors, size: 150x200cm"
"02.0955","Velour Blanket","440g/m², 100% polyester","Merrowed borders, laminated underside with sherpa fleece, size: 130x180cm"
"02.0956","Fleece Blanket with Fringes","220g/m², 100% polyester","Easy-care antipilling fleece, size: 130x170cm, decorative gift pack with banderole"
"02.0957","Fleece Blanket with Fringes","220g/m², 100% polyester, antipilling fleece","For leisure and gastronomy, wide short fringes, easy-care, size: 120x150cm"
"02.0959","Fleece Blanket checked","200g/m², 100% polyester","Hemmed ends, printed on both sides, plaid design, size: 130x170cm"
"02.0960","Ladies' ""Lifestyle"" Hooded Sweatshirt","280g/m², 80% cotton, 20% polyester","Lightly tailored fit, 2-layer hood and drawstring in contrasting color, cuffs with elastane, kangaroo pocket, contrasting seams, contrasting flatlock seams, soft sweat quality, roughened inside"
"02.0961","Men's ""Lifestyle"" Hooded Sweatshirt","280g/m², 80% cotton, 20% polyester","2-layer hood and drawstring in contrasting color, cuffs with elastane, kangaroo pocket, contrasting seams, contrasting flatlock seams, soft sweat quality, roughened inside"
"02.0962","Ladies' ""Lifestyle"" Hooded Sweat Jacket","280g/m², 80% combed ringspun cotton, 20% polyester","Lightly tailored fit, 2-layer hood and drawstring in contrasting color, cuffs with elastane, kangaroo pocket, tone-in-tone flatlock seams, roughened inside"
"02.0963","Men's ""Lifestyle"" Hooded Sweat Jacket","280g/m², 80% combed ringspun cotton, 20% polyester","2-layer hood and drawstring in contrasting color, cuffs with elastane, kangaroo pocket, tone-in-tone flatlock seams, roughened inside"
"02.0964","Men's Button-Down Piqué Polo","195g/m², 100% combed ringspun cotton","Ready-made button down collar, trimming in the collar band, button-placket inside and side slits, 3 contrasting buttons, tone-in-tone halfmoon, fine piqué"
"02.0965","Ladies' Coldblack® Piqué Polo","215g/m², 95% combed ringspun cotton, 5% elastane","Tailored fit, 5 button-placket with tone-in-tone buttons, necktape in contrasting color, contrasting stripes on collar and sleeves, UV protection 50+"
"02.0966","Men's Coldblack® Piqué Polo","215g/m², 100% combed ringspun cotton","3 button-placket tone-in-tone, necktape in contrasting color, contrasting stripes on collar and sleeves, UV protection 50+"
"02.0969","Ladies' Button-Down Piqué Polo","195g/m², 100% combed ringspun cotton","Ready-made collar, trimming in the collar band, button-placket inside and side slits, 4 contrasting buttons, tone-in-tone halfmoon, fine piqué"
"02.0970","Ladies' Tank Top","160g/m², 95% cotton, 5% elastane, single jersey","Tailored fit, round neckline and armholes with narrow cuffs"
"02.0971","Ladies' Slim Fit T-Shirt","160g/m², 100% preshrunk combed ringspun cotton, single jersey","Tailored fit, necktape, collar in 1x1 rib knit"
"02.0972","Ladies' Tailored V-Neck T-Shirt","160g/m², 100% preshrunk combed ringspun cotton, single jersey","Tailored fit, 1x1 ribbed knit V-neck"
"02.0973","Ladies' V-Neck Melange T-Shirt","170g/m², 65% polyester, 35% cotton","Tailored fit, high-quality melange single jersey quality"
"02.0974","Men's V-Neck Melange T-Shirt","170g/m², 65% polyester, 35% cotton","High-quality melange single jersey quality"
"02.0975","Ladies' V-Neck T-Shirt ""Gipsy""","140g/m², 100% cotton, single jersey","Tailored fit, neck and sleeves with narrow trimming, elaborate spray print technique, not suitable for embroidery with heat, items bleed when washed - light print can discolor"
"02.0976","Men's V-Neck T-Shirt ""Gipsy""","140g/m², 100% cotton, single jersey","Tailored fit, neck and sleeves with narrow trimming, elaborate spray print technique, not suitable for embroidery with heat, items bleed when washed - light print can discolor"
"02.0977","Ladies' Slub T-Shirt ""Urban""","160g/m², 100% cotton, single jersey made of slub yarn","Tailored fit, shoulder with contrasting double seams"
"02.0978","Men's Slub T-Shirt ""Urban""","180g/m², 100% cotton, single jersey made of slub yarn","Shoulder with contrasting double seams"
"02.0979","Ladies' Slub Polo ""Urban""","180g/m², 100% cotton, single jersey made of slub yarn","Tailored fit, knitted polo collar, 5 button-placket, cuffs in contrasting color, decorative stitching in contrasting color, reinforced side slits with contrasting band"
"02.0980","Men's Slub Polo ""Urban""","180g/m², 100% cotton, single jersey made of slub yarn","Knitted polo collar, 3 button-placket, cuffs in contrasting color, decorative stitching in contrasting color, reinforced side slits with contrasting band"
"02.0985","Ladies' Piqué Polo","190g/m², 95% cotton, 5% elastane, piqué","Tailored fit, contrasting stripes on flat rib knit collar and cuffs, low button-placket with 5 buttons, reinforced side slits with contrasting band"
"02.0986","Men's Piqué Polo","190g/m², 95% cotton, 5% elastane, piqué","Contrasting stripes on flat rib knit collar and cuffs, 3 button-placket, reinforced side slits with contrasting band"
"02.1000","Men's 3-Layer Winter Softshell Jacket","330g/m², outside: 95% polyester, 5% elastane, middle layer and inside: 100% polyester, TPU membrane","Wind and waterproof, 5,000mm water column, breathable and permeable to water vapor, warming fleece collar, zip-off lined and padded hood, full-length windshield, 1 chest pocket, 2 front pockets, reflective piping (without protective function) on shoulder and front pockets, inside: breast pocket and mobile phone pocket, elastic cord with stopper on hood and hem, 2-way zip, zips under the armpits, decoration access at the back"
"02.1001","Ladies' 3-Layer Winter Softshell Jacket","330g/m², outside: 95% polyester, 5% elastane, middle layer and inside: 100% polyester, TPU membrane","Wind and waterproof, 5,000mm water column, breathable and permeable to water vapor, warming fleece collar, zip-off lined and padded hood, full-length windshield, 1 chest pocket, 2 front pockets, reflective piping (without protective function) on shoulder and front pockets, inside: breast pocket and mobile phone pocket, lightly tailored fit, elastic cord with stopper on hood and hem, 2-way zip, zips under the armpits, decoration access at the back"
"02.1004","Men's Hooded Padded Vest","Outside: 100% polyamide, middle layer: 100% polyester","Wind and water repellent (600mm water column), detachable hood, elastic cord with stopper on hood and hem, full-length windshield, 2 front pockets, breast pocket and mobile phone pocket inside, decoration access at the back, matt surface with light TPU-coating"
"02.1005","Ladies' Hooded Padded Vest","Outside: 100% polyamide, middle layer: 100% polyester","Lightly tailored fit, wind and water repellent (600mm water column), detachable hood, elastic cord with stopper on hood and hem, full-length windshield, 2 front pockets, breast pocket and mobile phone pocket inside, decoration access at the back, matt surface with light TPU-coating"
"02.1006","3-Layer Fleece Jacket","350g/m², outer and inner: 100% polyester, middle layer: breathable, wind- and waterproof TPU membrane","Waterproof (5,000mm water column), breathable (2,000g/m² in 24h), full-length windshield, chest pocket with zip, 2 concealed pockets with zip, elastic cord with stopper on the hem, permeable to water vapor, windproof"
"02.1010","Men's Outdoor Jacket","Outside: 100% polyester with TPU coating, inside: 100% polyester","Wind and waterproof (3,000mm water column), breathable and permeable to water vapor (3,000g/m² in 24h), hood integrated in the collar, elastic cord with stopper on hood and hem, breast pocket and mobile phone pocket inside, 2 concealed pockets with zip, sealed seams, decoration access at the back"
"02.1011","Ladies' Outdoor Jacket","125g/m², outside: 100% polyester with TPU coating, inside: 100% polyester","Lightly tailored fit, wind and waterproof (3,000mm water column), permeable to water vapor (3,000g/m² in 24h), hood integrated in the collar, elastic cord with stopper on hood and hem, breast pocket and mobile phone pocket inside, 2 concealed pockets with zip, sealed seams, decoration access at the back"
"02.1020","Men's 3-Layer Softshell Jacket","270g/m², 90% polyester, 10% elastane, 3-layer functional material with TPU membrane","Wind and waterproof (2,000mm water column), breathable (2,000g/m² in 24h), 2 side pockets with zip, 2 inside pockets, elastic cord with stopper on the hem, soft, sporty stretch fabric"
"02.1021","Ladies' 3-Layer Softshell Jacket","270g/m², 90% polyester, 10% elastane, 3-layer functional material with TPU membrane","Lightly tailored fit, wind and waterproof (2,000mm water column), breathable (2,000g/m² in 24h), 2 side pockets with zip, 2 inside pockets, elastic cord with stopper on the hem, soft, sporty stretch fabric"
"02.1022","Men's 3-Layer Softshell Vest","270g/m², 90% polyester, 10% elastane, 3-layer functional material with TPU membrane","Wind and waterproof (2,000mm water column), breathable (2,000g/m² in 24h), 2 side pockets with zip, 2 inside pockets, elastic cord with stopper on the hem, soft, sporty stretch fabric"
"02.1023","Ladies' 3-Layer Softshell Vest","270g/m², 90% polyester, 10% elastane, 3-layer functional material with TPU membrane","Lightly tailored fit, wind and waterproof (2,000mm water column), breathable (2,000g/m² in 24h), 2 side pockets with zip, 2 inside pockets, elastic cord with stopper on the hem, soft, sporty stretch fabric"
"02.1028","Men's Zip-Off Trekking Pants","Outer and middle layer: 100% polyester","Water and dirt repellent, waistband on the side with elastic inserts, zip-off removable lower legs, zip on the leg (makes it easier to put on and take off with shoes), 2 back pockets, 2 side pockets with zip, 2 large patch pockets, high comfort, quick drying"
"02.1029","Ladies' Zip-Off Trekking Pants","Outer and middle layer: 100% polyester","Water and dirt repellent, waistband on the side with elastic inserts, zip-off removable lower legs, zip on the leg (makes it easier to put on and take off with shoes), 2 back pockets, 2 side pockets with zip, 2 large patch pockets, high comfort, quick drying"
"02.1035","Lightweight Men's Padded Jacket","100% polyester, warming Thinsulate™ 3M-padding, light ripstop fabric","Wind repellent, lined front zip with chin guard, large JN-logo at back inside, zipper, inner lining and cuffs in contrasting color, elastic cord with stopper on the hem, decoration access at the back, optimal heat protection with low material thickness, reflective print (without protective function) on sleeves"
"02.1037","Lightweight Men's Padded Vest","100% polyester, warming Thinsulate™ 3M-padding, light ripstop fabric","Wind repellent, lined front zip with chin guard, large JN-logo at back inside, zips in contrasting color, elastic cord with stopper on the hem, decoration access at the back, optimal heat protection with low material thickness"
"02.1040","Ladies' Windbreaker","Outer and middle layer: 100% polyester, ripstop fabric with TPU coating","Lightly tailored fit, water repellent (1,500mm water column), hood integrated in the collar, elastic cord with stopper on hood and hem, lined front zip with chin guard, mobile phone pocket, 2 side pockets with zip, sleeve pocket, sleeve pocket and inner pocket with zip, zips in contrasting color, decoration access at the back, windproof, reflective piping (without protective function) on the collar"
"02.1041","Men's Windbreaker","Outer and middle layer: 100% polyester, ripstop fabric with TPU coating","Water repellent (1,500mm water column), hood integrated in the collar, elastic cord with stopper on hood and hem, lined front zip with chin guard, contrasting zips and sleeve pocket, mobile phone pocket, 2 side pockets with zip, sleeve pocket and inner pocket with zip, decoration access at the back, windproof, reflective piping (without protective function) on the collar"
"02.1049","Ladies' Outdoor Hybrid Jacket","95% polyester, 5% elastane, outside: 100% polyamide, middle layer: 100% polyester, inside: 100% polyester","Tailored fit, wind and water repellent, adjustable detachable softshell hood, full-length concealed windshield with chin guard, inner pocket, 4 front pockets with contrasting zip, elastic softshell inserts, decoration access, attractive material mix"
"02.1050","Men's Outdoor Hybrid Jacket","95% polyester, 5% elastane, outside: 100% polyamide, middle layer: 100% polyester, inside: 100% polyester","Wind and water repellent, adjustable detachable softshell hood, full-length concealed windshield with chin guard, inner pocket, 4 front pockets with contrasting zip, elastic softshell inserts, decoration access, attractive material mix"
"02.1051","Ladies´ 3-layer Winter Sports Softshell Pants","92% polyester, 8% elastane, middle layer: 100% polyester, padding: 100% polyester, 3-layer functional material with TPU membrane","Waterproof (5,000mm water column), breathable (2,000g/m² in 24h), comfortable width adjustment on hem for optimal fit, leg ends with side zip, shaping seams on knee for sporty fit, lined, windproof, elastic"
"02.1052","Men´s 3-layer Winter Sports Softshell Pants","92% polyester, 8% elastane, middle layer: 100% polyester, inside: 100% polyester, 3-layer functional material with TPU membrane","Waterproof (5,000mm water column), breathable (2,000g/m² in 24h), comfortable width adjustment on hem for optimal fit, leg ends with side zip, shaping seams on knee for sporty fit, lined, windproof, elastic"
"02.1053","Ladies' 3-lager Winter Sports Softshell Jacket","92% polyester, 8% elastane, middle layer: 100% polyester, inside: 100% polyester, 3-layer functional material with PU membrane","Tailored fit, wind and waterproof (5,000mm water column), breathable (2,000g/m² in 24h), zip-off lined hood with multiple width adjustment, lined front zip with chin guard, decoration access"
"02.1054","Men's 3-layer Winter Sports Softshell Jacket","92% polyester, 8% elastane, middle layer: 100% polyester, inside: 100% polyester, 3-layer functional material with TPU membrane","Wind and waterproof (5,000mm water column), breathable (2,000g/m² in 24h), zip-off lined hood with multiple width adjustment, lined front zip with chin guard, decoration access"
"02.1057","Ladies' Design 2-Layer Softshell Jacket","210g/m², 100% polyester","Smooth softshell material with water repellent surface, stand-up collar, width adjustment on the cuffs with press studs, full-length lined front zip, 2 side pockets and 2 breast pockets with zip"
"02.1058","Men's Design 2-Layer Softshell Jacket","210g/m², 100% polyester","Smooth softshell material with water repellent surface, stand-up collar, width adjustment on the cuffs with press studs, full-length lined front zip, 2 side pockets and 2 breast pockets with zip"
"02.1059","Lightweight Ladies' Down Hooded Jacket","Outer and inner: 100% polyamide, middle layer: 90% down, 10% feathers","Light wind and water repellent material, 2 side pockets with zip, 2 inside pockets, double quilted seams, contrasting inserts on hood, sleeves and cuffs, contrasting lining and zips, can be stowed into a separate bag"
"02.1060","Lightweight Men's Down Hooded Jacket","Outer and inner: 100% polyamide, middle layer: 90% down, 10% feathers","Light wind and water repellent material, 2 side pockets, double quilted seams, contrasting lining and zips, binding in contrasting color on the hood, sleeves and cuffs, can be stowed into a separate bag"
"02.1061","Lightweight Ladies' Down Hooded Bodywarmer","Outer and inner: 100% polyamide, middle layer: 90% down, 10% feathers","Light wind and water repellent material, 2 side pockets, double quilted seams, contrasting lining and zips, binding in contrasting color on the hood, sleeves and cuffs, can easily be stowed into a separate bag"
